team_name,player_role,map_played,match_type,kills,assists,deaths,accuracy_percent,reaction_time_ms,fatigue_index,performance_score,win_probability,mvp_award
Titan Esports,Flex,Dust Arena,Playoff,18,6,7,40.43,192.28,0.52,50.02,0.83,No
Titan Esports,Support,Neon City,Final,16,7,11,40.5,201.98,0.68,41.45,0.89,No
Team Alpha,Support,Neon City,Semi-Final,14,7,15,36.93,172.5,0.27,35.77,0.81,No
Team Nova,IGL,Desert Storm,Final,12,6,13,53.46,246.83,0.07,43.03,1.0,No
Phantom Squad,Sniper,Skyline,Playoff,13,9,13,44.71,266.94,0.52,39.16,0.85,No
Team Alpha,Sniper,Frozen Base,Qualifier,9,8,8,44.51,247.46,0.8,32.25,0.86,No
Team Nova,Sniper,Desert Storm,Semi-Final,15,7,10,41.84,211.33,0.34,44.52,0.93,No
Team Nova,IGL,Desert Storm,Final,15,7,11,48.23,214.23,0.14,48.71,1.0,No
Red Vortex,Sniper,Dust Arena,Qualifier,12,9,7,58.65,246.21,0.02,55.12,0.9,No
Phantom Squad,Flex,Desert Storm,Playoff,17,8,10,45.55,210.27,0.9,45.77,0.94,No
Red Vortex,Flex,Dust Arena,Qualifier,21,10,12,46.4,183.49,0.69,56.3,0.94,No
Team Alpha,Entry Fragger,Frozen Base,Qualifier,18,9,13,50.25,212.06,0.2,55.12,1.0,No
Titan Esports,Flex,Dust Arena,Playoff,18,7,16,41.38,243.31,0.39,43.79,0.89,No
Team Alpha,Entry Fragger,Dust Arena,Semi-Final,11,12,8,51.85,229.13,0.91,42.82,0.95,No
Phantom Squad,Support,Frozen Base,Group Stage,15,9,10,50.49,171.62,0.03,53.95,0.95,No
Team Alpha,Sniper,Dust Arena,Playoff,15,4,10,42.32,159.25,0.8,37.16,0.89,No
Phantom Squad,Flex,Dust Arena,Final,12,6,6,59.12,232.15,0.66,46.96,1.0,No
Titan Esports,IGL,Skyline,Qualifier,16,4,3,58.21,233.31,0.47,57.41,1.0,No
Titan Esports,Support,Frozen Base,Qualifier,9,6,9,54.31,220.31,0.66,35.55,0.84,No
Titan Esports,Flex,Neon City,Group Stage,16,9,12,45.49,246.55,0.02,51.55,0.97,No
Red Vortex,Flex,Dust Arena,Semi-Final,19,11,9,49.38,213.93,0.86,56.09,1.0,No
Titan Esports,IGL,Dust Arena,Group Stage,18,8,17,41.48,195.45,0.29,44.84,1.0,No
Team Alpha,Support,Skyline,Group Stage,13,7,15,49.91,260.74,0.1,41.95,0.94,No
Phantom Squad,IGL,Desert Storm,Qualifier,17,9,13,40.94,245.73,0.11,49.37,0.98,No
Red Vortex,Flex,Frozen Base,Playoff,15,4,12,44.13,232.05,0.29,41.16,0.88,No
Phantom Squad,Flex,Neon City,Playoff,25,9,12,48.66,256.01,0.9,62.33,1.0,Yes
Titan Esports,Sniper,Skyline,Group Stage,6,9,12,52.6,202.69,0.68,28.5,0.86,No
Team Alpha,Flex,Dust Arena,Semi-Final,14,4,11,56.81,216.56,0.41,45.3,1.0,No
Phantom Squad,IGL,Dust Arena,Group Stage,12,14,11,47.66,197.55,0.52,45.63,0.97,No
Team Nova,IGL,Neon City,Playoff,20,7,7,57.41,168.07,0.44,64.3,1.0,Yes
CyberX,Flex,Skyline,Semi-Final,21,12,8,44.02,217.74,0.13,66.71,1.0,Yes
Team Nova,Support,Dust Arena,Qualifier,11,6,8,37.48,176.98,0.36,35.14,0.83,No
Team Nova,Support,Skyline,Final,15,6,8,39.11,237.39,0.21,45.45,0.93,No
Team Nova,Support,Dust Arena,Qualifier,16,8,9,26.58,195.68,0.38,40.49,0.81,No
Team Nova,Support,Neon City,Group Stage,11,10,6,56.17,180.71,0.57,48.39,0.84,No
CyberX,IGL,Neon City,Group Stage,9,5,5,49.5,202.7,0.17,41.05,0.99,No
Red Vortex,Entry Fragger,Desert Storm,Semi-Final,16,7,11,35.89,228.03,0.48,41.15,0.85,No
Phantom Squad,IGL,Frozen Base,Final,13,9,6,45.38,222.6,0.57,45.99,0.94,No
Titan Esports,IGL,Dust Arena,Group Stage,19,9,13,39.59,153.09,0.3,50.8,1.0,No
CyberX,IGL,Desert Storm,Semi-Final,12,9,11,58.41,225.46,0.15,49.7,1.0,No
Team Alpha,Entry Fragger,Frozen Base,Semi-Final,13,7,14,55.3,206.66,0.15,45.15,1.0,No
Phantom Squad,Flex,Desert Storm,Final,18,10,11,37.62,213.91,0.87,45.11,0.96,No
Team Nova,Flex,Dust Arena,Playoff,22,11,6,45.45,252.83,0.59,65.82,1.0,Yes
Team Nova,IGL,Skyline,Group Stage,13,3,15,43.93,258.1,0.45,31.47,0.73,No
CyberX,Sniper,Dust Arena,Qualifier,11,8,12,38.61,215.06,1.0,27.3,1.0,No
Titan Esports,Sniper,Desert Storm,Final,8,4,10,45.47,261.66,0.44,28.34,0.52,No
